date,open,high,low,close,volume
2020-07-23,5.35,6.75,4.49,4.75,22490
2020-07-24,4.5,4.65,4.31,4.46,2179
2020-07-27,4.42,4.42,3.81,3.81,2821
2020-07-28,3.94,4.54,3.82,4.45,1807
2020-07-29,4.67,4.68,4.19,4.29,616
2020-07-30,4.15,4.33,3.83,4.3,1878
2020-07-31,4.25,4.25,3.9,4.01,845
2020-08-03,4.19,4.24,3.6,3.67,1967
2020-08-04,3.62,3.82,3.57,3.81,742
2020-08-05,3.73,4.45,3.7,4.19,2726
2020-08-06,4.16,4.3,4.02,4.09,986
2020-08-07,4.06,4.2,3.97,4.2,532
2020-08-10,4.16,4.28,4.01,4.28,754
2020-08-11,4.25,4.35,4.15,4.26,1044
2020-08-12,4.27,4.55,4.27,4.54,1397
2020-08-13,4.58,4.6,4.34,4.47,895
2020-08-14,4.47,4.48,4.25,4.465,620
2020-08-17,4.46,4.52,4.33,4.5,630
2020-08-18,4.57,4.65,4.4,4.47,1058
2020-08-19,4.45,4.9,4.45,4.83,4577
2020-08-20,4.8,4.98,4.53,4.6,1172
2020-08-21,4.66,4.66,4.48,4.54,198
2020-08-24,4.51,4.51,3.98,3.99,1153
2020-08-25,4.0,4.07,3.85,3.92,824
2020-08-26,3.91,4.09,3.87,4.01,122
2020-08-27,4.04,4.1,3.96,4.075,250
2020-08-28,4.08,4.48,4.07,4.28,1444
2020-08-31,4.25,4.33,3.9,4.02,3574
2020-09-01,4.02,4.02,3.68,3.84,3959
2020-09-02,3.75,3.96,3.67,3.95,3999
2020-09-03,3.93,3.99,3.84,3.85,3032
2020-09-04,3.84,3.85,3.55,3.66,4323
2020-09-08,3.57,4.04,3.57,3.99,3919
2020-09-09,3.98,4.08,3.94,3.975,3138
2020-09-10,3.98,4.18,3.91,3.94,3349
2020-09-11,3.88,4.05,3.72,3.72,3911
2020-09-14,3.73,3.79,3.61,3.61,143
2020-09-15,3.72,3.83,3.1,3.22,1184
2020-09-16,3.19,3.34,3.19,3.3,329
2020-09-17,3.29,3.39,3.22,3.22,211
2020-09-18,3.25,3.41,3.12,3.14,975
2020-09-21,3.11,3.21,3.02,3.06,746
2020-09-22,3.18,3.21,3.1,3.12,455
2020-09-23,3.16,3.18,2.9,2.93,672
2020-09-24,3.0,3.04,2.94,3.02,249
2020-09-25,3.02,3.06,3.0,3.01,44
2020-09-28,3.06,3.71,3.05,3.1,5286
2020-09-29,3.2,3.2,3.05,3.07,289
2020-09-30,3.07,3.2,3.07,3.16,190
2020-10-01,3.16,3.16,3.02,3.05,420
2020-10-02,3.0,3.1,3.0,3.07,108
2020-10-05,3.1,3.14,2.96,3.02,247
2020-10-06,3.0,3.05,2.81,3.05,269
2020-10-07,3.04,3.04,2.83,2.93,279
2020-10-08,2.93,2.93,2.83,2.85,126
2020-10-09,2.85,2.92,2.76,2.76,157
2020-10-12,2.86,3.68,2.76,3.5,3111
2020-10-13,3.47,3.49,3.02,3.03,838
2020-10-14,3.04,3.19,3.04,3.09,207
2020-10-15,3.14,3.37,3.01,3.12,1146
2020-10-16,3.14,3.29,3.08,3.11,289
2020-10-19,3.31,3.31,3.1,3.16,407
2020-10-20,3.15,3.65,3.1,3.63,689
2020-10-21,3.48,3.48,3.21,3.29,452
2020-10-22,3.29,3.35,3.24,3.3,48
2020-10-23,3.27,3.32,3.21,3.31,169
2020-10-26,3.23,3.36,3.12,3.135,98
2020-10-27,3.18,3.22,3.1,3.1,82
2020-10-28,3.09,3.2,2.83,2.98,240
2020-10-29,3.06,3.09,3.0,3.0,61
2020-10-30,2.97,3.05,2.85,2.9,95
2020-11-02,2.96,2.96,2.86,2.86,8
2020-11-03,2.95,3.08,2.82,2.93,94
2020-11-04,2.95,2.97,2.93,2.93,31
2020-11-05,2.97,2.99,2.94,2.94,83
2020-11-06,2.9,2.92,2.79,2.9,513
2020-11-09,2.91,2.91,2.77,2.84,337
2020-11-10,2.9,2.94,2.76,2.81,105
2020-11-11,2.82,3.02,2.77,2.78,1127
2020-11-12,2.78,3.11,2.77,3.105,2382
2020-11-13,3.01,3.14,2.98,3.1,332
2020-11-16,3.01,3.09,3.01,3.06,70
2020-11-17,3.11,3.3,2.95,2.98,367
2020-11-18,2.98,3.15,2.91,3.06,400
2020-11-19,3.12,3.13,3.02,3.02,158
2020-11-20,2.98,3.04,2.95,2.97,170
2020-11-23,3.02,3.07,2.97,3.04,410
2020-11-24,3.05,3.17,2.97,3.11,243
2020-11-25,3.2,3.45,3.11,3.36,1082
2020-11-27,3.42,3.42,3.15,3.16,381
2020-11-30,3.17,3.25,2.97,3.13,292
2020-12-01,3.13,3.13,2.99,3.06,204
2020-12-02,3.02,3.22,3.02,3.09,404
2020-12-03,3.09,3.13,2.98,2.98,169
2020-12-04,3.04,3.16,3.0,3.02,178
2020-12-07,3.07,3.16,3.02,3.04,132
2020-12-08,3.08,3.33,2.92,2.96,1119
2020-12-09,2.98,3.14,2.93,3.005,345
2020-12-10,3.05,3.05,2.98,3.02,131
2020-12-11,3.04,3.04,2.95,2.97,359
2020-12-14,3.01,3.04,2.88,2.985,233
2020-12-15,3.02,3.05,2.86,2.9,174
2020-12-16,2.9,2.96,2.82,2.895,294
2020-12-17,3.08,3.69,3.0,3.5,3103
2020-12-18,3.52,3.78,3.37,3.58,1158
2020-12-21,3.34,3.45,3.16,3.23,857
2020-12-22,3.32,3.32,3.0,3.01,1135
2020-12-23,3.0,3.07,2.9,2.95,854
2020-12-24,3.09,3.09,2.96,3.04,374
2020-12-28,3.07,3.26,2.96,3.1,604
2020-12-29,3.07,3.93,3.0,3.25,7207
2020-12-30,3.1,3.2,3.03,3.1,1348
2020-12-31,3.13,3.14,3.05,3.07,432
2021-01-04,3.13,3.13,2.95,3.03,210
2021-01-05,2.99,3.19,2.98,3.11,329
2021-01-06,3.08,3.19,3.01,3.06,263
2021-01-07,3.1,3.23,3.02,3.18,1913
2021-01-08,3.29,3.3,3.1,3.23,543
2021-01-11,3.09,3.28,3.07,3.23,867
2021-01-12,3.24,3.41,3.1,3.21,1215
2021-01-13,3.23,3.27,3.06,3.15,650
2021-01-14,3.14,3.24,3.1,3.16,1013
2021-01-15,3.43,3.75,3.23,3.47,6879
2021-01-19,3.43,3.43,3.15,3.27,1739
2021-01-20,3.3,3.67,3.2,3.35,2788
2021-01-21,3.4,3.44,3.27,3.34,1055
2021-01-22,3.34,3.46,3.28,3.39,538
2021-01-25,3.33,3.5,3.21,3.29,2503
2021-01-26,3.33,3.35,3.19,3.2,527
2021-01-27,3.2,3.27,3.04,3.04,1201
2021-01-28,3.1,3.22,3.02,3.09,531
2021-01-29,3.1,3.88,3.04,3.26,10530
2021-02-01,3.35,3.39,3.21,3.29,1189
2021-02-02,3.29,3.34,3.18,3.21,597
2021-02-03,3.22,3.27,3.04,3.195,993
2021-02-04,3.2,4.08,3.17,3.61,40374
2021-02-05,3.7,4.64,3.45,3.55,21672
2021-02-08,3.6,3.63,3.3,3.55,3260
2021-02-09,3.49,3.7,3.46,3.59,1646
2021-02-10,3.6,3.85,3.41,3.82,2981
2021-02-11,3.74,4.37,3.7,4.11,6451
2021-02-12,4.15,4.45,3.86,4.1,3980
2021-02-16,4.1,4.2,3.9,4.0,1161
2021-02-17,3.95,3.99,3.53,3.63,3428
2021-02-18,3.7,5.19,3.54,4.38,72892
2021-02-19,4.19,4.42,3.96,4.25,6175
2021-02-22,4.13,4.25,3.96,4.2,1741
2021-02-23,3.99,3.99,3.68,3.83,1612
2021-02-24,3.78,3.99,3.7,3.72,869
2021-02-25,3.81,3.87,3.55,3.64,458
2021-02-26,3.7,3.72,3.35,3.42,1356
2021-03-01,3.5,3.57,3.4,3.41,382
2021-03-02,3.46,3.5,3.38,3.4,299
2021-03-03,3.4,3.5,3.34,3.39,346
2021-03-04,3.34,3.45,3.01,3.075,1433
2021-03-05,3.07,3.23,2.81,3.13,2389
2021-03-08,3.13,3.3,3.1,3.13,447
2021-03-09,3.25,3.41,3.05,3.32,1284
2021-03-10,3.33,3.37,3.25,3.28,125
2021-03-11,3.3,3.48,3.25,3.36,1402
2021-03-12,3.36,3.46,3.3,3.35,1211
2021-03-15,3.38,3.58,3.35,3.44,1291
2021-03-16,3.39,3.72,3.34,3.59,1586
2021-03-17,3.51,3.63,3.48,3.56,349
2021-03-18,3.46,3.75,3.45,3.56,1656
2021-03-19,3.56,3.76,3.56,3.61,1279
2021-03-22,3.65,3.93,3.6,3.68,2998
2021-03-23,3.59,3.67,3.5,3.56,1465
2021-03-24,3.68,3.76,3.5,3.5,2304
2021-03-25,3.35,3.49,3.26,3.32,2170
2021-03-26,3.63,4.55,3.31,3.62,33456
2021-03-29,3.47,3.6,3.28,3.35,1654
2021-03-30,3.3,3.5,3.3,3.36,1063
2021-03-31,3.38,3.62,3.36,3.47,1586
2021-04-01,3.48,3.63,3.35,3.54,4286
2021-04-05,3.54,3.65,3.46,3.515,738
2021-04-06,3.48,3.58,3.46,3.51,275
2021-04-07,3.49,3.61,3.48,3.48,286
2021-04-08,3.52,3.61,3.33,3.38,1817
2021-04-09,3.45,3.48,3.29,3.29,1184
2021-04-12,3.33,3.41,3.06,3.12,993
2021-04-13,3.07,3.12,2.83,2.89,2952
2021-04-14,2.89,3.1,2.71,2.77,4366
2021-04-15,2.79,2.94,2.56,2.66,2598
2021-04-16,2.58,2.7,2.49,2.57,5804
2021-04-19,2.54,2.67,2.31,2.43,6687
2021-04-20,2.47,2.59,2.43,2.5,4188
2021-04-21,2.45,2.6,2.29,2.37,6916
2021-04-22,2.37,2.48,2.27,2.37,14442
2021-04-23,2.37,2.4,2.27,2.34,11805
2021-04-26,2.42,2.68,2.3,2.62,15159
2021-04-27,2.61,2.69,2.41,2.49,7420
2021-04-28,2.49,2.5,2.4,2.43,4962
2021-04-29,2.46,2.53,2.34,2.39,9179
2021-04-30,2.4,2.45,2.36,2.4,18608
2021-05-03,2.37,2.6,2.35,2.47,2674
2021-05-04,2.45,2.49,2.34,2.37,1399
2021-05-05,2.35,2.38,2.27,2.32,959
2021-05-06,2.32,2.33,2.1,2.13,2342
2021-05-07,2.13,2.24,2.1,2.16,4917
2021-05-10,2.15,2.16,2.06,2.1,1408
2021-05-11,2.06,2.14,1.92,2.04,2662
2021-05-12,2.06,2.15,2.01,2.07,10000
2021-05-13,2.08,2.11,1.83,1.91,2968
2021-05-14,1.89,2.05,1.88,1.94,3957
2021-05-17,2.01,2.05,1.96,2.04,507
2021-05-18,2.03,2.0499,1.97,2.0,818
2021-05-19,1.97,2.18,1.92,2.15,1229
2021-05-20,2.15,2.29,2.05,2.28,777
2021-05-21,2.25,2.35,2.15,2.2,14956
2021-05-24,2.16,2.28,2.08,2.15,5053
2021-05-25,2.21,2.35,2.17,2.3,7294
2021-05-26,2.26,2.38,2.21,2.27,4648
2021-05-27,2.25,2.4604,2.17,2.45,2497
2021-05-28,2.45,2.47,2.34,2.36,630
2021-06-01,2.36,2.47,2.34,2.36,1656
2021-06-02,2.42,2.4799,2.35,2.47,768
2021-06-03,2.45,2.53,2.41,2.44,744
2021-06-04,2.44,2.47,2.37,2.4,571
2021-06-07,2.46,2.47,2.33,2.43,1467
2021-06-08,2.4,2.49,2.35,2.47,2870
2021-06-09,2.45,2.55,2.42,2.48,1831
2021-06-10,2.44,2.51,2.4,2.4,768
2021-06-11,2.41,2.41,2.22,2.34,1722
2021-06-14,2.3,2.58,2.23,2.35,16076
2021-06-15,2.31,2.34,2.15,2.18,3516
2021-06-16,2.15,2.203,2.01,2.1,1463
2021-06-17,2.105,2.18,2.06,2.1,1548
2021-06-18,2.17,2.23,2.1,2.18,5113
2021-06-21,2.18,2.18,2.08,2.11,1230
2021-06-22,2.1,2.13,2.04,2.09,905
2021-06-23,2.09,2.19,2.05,2.12,4154
2021-06-24,2.12,2.2,2.09,2.15,4642
2021-06-25,2.14,2.2,2.1,2.16,2210
2021-06-28,2.14,2.22,2.1,2.1,2466
2021-06-29,2.13,2.19,2.1,2.1,3705
2021-06-30,2.13,2.25,2.1,2.17,10715
2021-07-01,2.2,2.24,2.11,2.14,1779
2021-07-02,2.18,2.18,2.06,2.06,1034
2021-07-06,2.05,2.15,2.04,2.09,2218
2021-07-07,2.1,2.15,2.0,2.03,2625
2021-07-08,1.97,2.03,1.91,1.97,2247
2021-07-09,1.97,2.07,1.95,1.96,3029
2021-07-12,1.99,2.17,1.98,2.09,9952
2021-07-13,2.06,2.115,2.0173,2.08,1677
2021-07-14,2.07,2.22,2.06,2.11,6111
2021-07-15,2.15,2.35,2.14,2.265,6783
2021-07-16,2.26,2.33,2.07,2.14,3756
2021-07-19,2.13,2.13,2.02,2.1,682
2021-07-20,2.07,2.17,2.06,2.09,1142
2021-07-21,2.1,2.192,2.1,2.19,679
2021-07-22,2.16,2.29,2.15,2.25,1683
2021-07-23,2.07,2.07,1.92,1.92,2416
2021-07-26,1.8,1.8399,1.66,1.7,5703
2021-07-27,1.7,1.74,1.61,1.655,1878
2021-07-28,1.69,1.87,1.66,1.66,1983
2021-07-29,1.75,1.77,1.67,1.69,1300
2021-07-30,1.73,1.78,1.621,1.66,2042
2021-08-02,1.65,1.75,1.64,1.64,1948
2021-08-03,1.65,1.68,1.5799,1.65,993
2021-08-04,1.63,1.76,1.59,1.64,7208
2021-08-05,1.65,1.75,1.62,1.64,4511
2021-08-06,1.68,1.75,1.64,1.72,10003
2021-08-09,1.7,1.81,1.7,1.78,1610
2021-08-10,1.82,1.82,1.7,1.77,2387
2021-08-11,1.79,1.93,1.651,1.66,1025
2021-08-12,1.75,1.75,1.65,1.69,477
2021-08-13,1.67,1.73,1.63,1.71,980
2021-08-16,1.707,1.8,1.62,1.62,1611
2021-08-17,1.61,1.6127,1.37,1.46,3135
2021-08-18,1.44,1.55,1.4201,1.49,1381
2021-08-19,1.46,1.51,1.37,1.37,2627
2021-08-20,1.45,1.485,1.38,1.45,1196
2021-08-23,1.39,1.49,1.39,1.45,1201
2021-08-24,1.49,1.6,1.47,1.54,2498
2021-08-25,1.51,1.59,1.41,1.58,3193
2021-08-26,1.54,1.57,1.4901,1.51,2432
2021-08-27,1.51,1.6294,1.51,1.57,2154
2021-08-30,1.57,1.58,1.49,1.55,2443
2021-08-31,1.54,1.6,1.52,1.58,1201
2021-09-01,1.56,1.68,1.5543,1.6,1191
2021-09-02,1.58,1.6,1.52,1.58,1110
2021-09-03,1.55,1.6,1.48,1.48,882
2021-09-07,1.54,1.57,1.5,1.55,1050
2021-09-08,1.51,1.57,1.45,1.47,1688
2021-09-09,1.47,1.57,1.47,1.53,655
2021-09-10,1.53,1.67,1.48,1.58,4324
2021-09-13,1.54,1.63,1.5,1.61,8598
2021-09-14,1.5,1.52,1.42,1.46,1156
2021-09-15,1.4788,1.48,1.38,1.39,861
